species,w_inf,w_mat,beta,sigma,k_vb,w_min,gear,r_max,encount_scale,temp_min,temp_max,knife_edge_size1,knife_edge_size2,metab_min,metab_range,catchability,sel_func
Bigeye,95200,29000,100,1,0.354,0.001,Longline,3.40E+03,3060.421,3,29,4771,44184,0.2835465,2.487953,1,knife_edge_phased
Mahi,29800,1024,100,1,1.2991,0.001,Longline,1.94E+04,520.331,21,30,1417,4771,1.434575,1.567364,1,knife_edge_phased
BlueShark,182139,38880,400,1,0.132,353,Longline,1.29E+03,1234.073,5,23,5841,54093,0.3430521,1.353903,1,knife_edge_phased
Skipjack,13122,1200,100,1,0.7,0.001,Longline,6.65E+04,3024.309,10,33,2124,7151,0.5458628,3.256932,1,knife_edge_phased
Yellowfin,93400,28480,100,1,0.724,0.001,Longline,3.50E+03,2970.019,7,31,2600,29479,0.4139177,2.835913,1,knife_edge_phased
Albacore,37200,15220,100,1,0.2483,0.001,Longline,1.39E+04,1386.279,7,25,5841,19668,0.4139177,1.588886,1,knife_edge_phased
StripedMarlin,68000,59400,100,1,0.24,0.001,Longline,5.64E+03,1940.736,11,30,7151,29479,0.5978274,2.404112,1,knife_edge_phased
Wahoo,43200,7030,100,1,1.58,0.001,Longline,1.11E+04,225.792,22,28,3183,13122,1.560703,0.9966879,1,knife_edge_phased
Swordfish,182138,33699,100,1,0.2585,0.001,Longline,1.29E+03,3603.456,2,30,1735,16065,0.2575165,2.744423,1,knife_edge_phased
BlueMarlin,455400,77560,100,1,0.26,0.001,Longline,3.25E+02,1200,17,31,16065,54093,1.018147,2.231685,1,knife_edge_phased
Lancetfish,8273,109,100,1,0.235,0.001,Longline,1.33E+05,3603.456,2,30,229,3897,0.2575165,2.744423,1,knife_edge_phased
Opah,89000,20050,100,1,0.218,0.001,Longline,3.77E+03,771.456,8,22,13122,36090,0.4542088,1.106495,1,knife_edge_phased
