species,w_inf,w_mat,beta,sigma,k_vb,w_min,gear,r_max,temp_scale,temp_min,temp_max,knife_edge_size1,knife_edge_size2
Bigeye,95200,29000,100,1,0.354,0.001,Longline,3.40E+03,4690.88,3,29,1000,15000
Mahi,29800,1024,100,1,1.2991,0.001,Longline,1.94E+04,1156.297,21,30,1000,15000
BlueShark,104604,38880,400,1,0.132,353,Longline,2.96E+03,1303.393,5,23,1000,15000
Skipjack,10400,1200,100,1,0.7,0.001,Longline,9.43E+04,6505.791,10,33,1000,15000
Yellowfin,93400,28480,100,1,0.724,0.001,Longline,3.50E+03,5417.474,7,31,1000,15000
Albacore,37200,15220,100,1,0.2483,0.001,Longline,1.39E+04,1715.664,7,25,1000,15000
StripedMarlin,68000,59400,100,1,0.24,0.001,Longline,5.64E+03,3506.285,11,30,1000,15000
Wahoo,43200,7030,100,1,1.58,0.001,Longline,1.11E+04,2344.228,11,28,1000,15000
BigeyeThresherShark,103071,49816,400,1,0.09,4017,Longline,3.02E+03,2232.678,9,27,1000,15000
Swordfish,181604,33699,100,1,0.2585,0.001,Longline,1.29E+03,5842.975,2,30,1000,15000
BlueMarlin,455400,77560,100,1,0.159,0.001,Longline,3.25E+02,2565.462,17,31,1000,15000
ShortfinMakoShark,360108,140037,400,1,0.07,2450,Longline,4.63E+02,1055.886,10,24,1000,15000
Lancetfish,8273,109,100,1,0.5781,0.001,Longline,1.33E+05,5842.975,2,30,1000,15000
Opah,89000,20050,100,1,0.218,0.001,Longline,3.77E+03,799.7326,8,22,1000,15000
